id	verb	transitive	derived	type
364	جَرَّدَ	1	مُجَرَّدٌ	Predicate
365	جَزَّأَ	1	مُجَزَّأٌ	Predicate
366	جَسَّدَ	1	مُجَسَّدٌ	Predicate
367	جَسَّمَ	1	مُجَسَّمٌ	Predicate
368	جَعَّدَ	1	مُجَعَّدٌ	Predicate
369	جَفَّفَ	1	مُجَفَّفٌ	Predicate
370	جَلْجَلَ	1	مُجَلْجَلٌ	Predicate
371	جَلَّدَ	1	مُجَلَّدٌ	Predicate
372	جَمَّدَ	1	مُجَمَّدٌ	Predicate
373	جَمَّرَ	1	مُجَمَّرٌ	Predicate
374	جَمَّعَ	1	مُجَمَّعٌ	Predicate
375	جَنَّحَ	1	مُجَنَّحٌ	Predicate
376	جَنَى	1	مَجْنِيٌّ	Predicate
377	جَهَدَ	1	مَجْهُودٌ	Predicate
378	جَهَّزَ	1	مُجَهَّزٌ	Predicate
379	جَهِلَ	1	مَجْهُولٌ	Predicate
380	جَوَّفَ	1	مُجَوَّفٌ	Predicate
381	جَيَّرَ	1	مُجَيَّرٌ	Predicate
382	حَاصَرَ	1	مُحَاصَرٌ	Predicate
383	حَبَّ	1	مَحْبُوبٌ	Predicate
384	حَبَّبَ	1	مُحَبَّبٌ	Predicate
385	حَبَّرَ	1	مُحَبَّرٌ	Predicate
386	حَبَسَ	1	مَحْبُوسٌ	Predicate
387	حَبَكَ	1	مَحْبُوكٌ	Predicate
388	حَتَمَ	1	مَحْتُومٌ	Predicate
389	حَجَبَ	1	مَحْجُوبٌ	Predicate
390	حَجَّبَ	1	مُحَجَّبٌ	Predicate
391	حَجَرَ	1	مَحْجُورٌ	Predicate
392	حَجَزَ	1	مَحْجُوزٌ	Predicate
393	حَجَّلَ	1	مُحَجَّلٌ	Predicate
394	حَدَّ	1	مَحْدُودٌ	Predicate
395	حَدَّبَ	1	مُحَدَّبٌ	Predicate
396	حَدَّدَ	1	مُحَدَّدٌ	Predicate
397	حَذَفَ	1	مَحْذُوفٌ	Predicate
398	حَرَّ	1	مَحْرُورٌ	Predicate
399	حَرَّرَ	1	مُحَرَّرٌ	Predicate
400	حَرَسَ	1	مَحْرُوسٌ	Predicate
401	حَرَقَ	1	مَحْرُوقٌ	Predicate
402	حَرَمَ	1	مَحْرُومٌ	Predicate
403	حَرَّمَ	1	مُحَرَّمٌ	Predicate
404	حَزَنَ	1	مَحْزُونٌ	Predicate
405	حَسَّ	1	مَحْسُوسٌ	Predicate
406	حَسَبَ	1	مَحْسُوبٌ	Predicate
407	حَسَدَ	1	مَحْسُودٌ	Predicate
408	حَسَمَ	1	مَحْسُومٌ	Predicate
409	حَشَّى	1	مُحَشّىً	Predicate
410	حَصَرَ	1	مَحْصُورٌ	Predicate
411	حَصَلَ	1	مَحْصُولٌ	Predicate
412	حَصَّنَ	1	مُحَصَّنٌ	Predicate
413	حَطَّمَ	1	مُحَطَّمٌ	Predicate
414	حَظَّ	1	مَحْظُوظٌ	Predicate
415	حَظَرَ	1	مَحْظُورٌ	Predicate
416	حَفَّ	1	مَحْفُوفٌ	Predicate
417	حَفَرَ	1	مَحْفُورٌ	Predicate
418	حَفِظَ	1	مَحْفُوظٌ	Predicate
419	حَقَّقَ	1	مُحَقَّقٌ	Predicate
420	حَكَمَ	1	مَحْكُومٌ	Predicate
421	حَكَّمَ	1	مُحَكَّمٌ	Predicate
422	حَلَّ	1	مَحْلُولٌ	Predicate
423	حَلَجَ	1	مَحْلُوجٌ	Predicate
424	حَلَّفَ	1	مُحَلَّفٌ	Predicate
425	حَمَّ	1	مَحْمُومٌ	Predicate
426	حَمِدَ	1	مَحْمُودٌ	Predicate
427	حَمَّدَ	1	مُحَمَّدٌ	Predicate
428	حَمَلَ	1	مَحْمُولٌ	Predicate
429	حَمَى	1	مَحْمِيٌّ	Predicate
430	حَنَّكَ	1	مُحَنَّكٌ	Predicate
431	حَيَّرَ	1	مُحَيَّرٌ	Predicate
432	خَاطَبَ	1	مُخَاطَبٌ	Predicate
433	خَافَ	1	مَخُوفٌ	Predicate
434	خَبَّأَ	1	مَخْبُوءٌ	Predicate
435	خَبَلَ	1	مَخْبُولٌ	Predicate
436	خَتَمَ	1	مَخْتُومٌ	Predicate
437	خَتَنَ	1	مَخْتُونٌ	Predicate
438	خَدَّرَ	1	مُخَدَّرٌ	Predicate
439	خَدَعَ	1	مَخْدُوعٌ	Predicate
440	خَدَمَ	1	مَخْدُومٌ	Predicate
441	خَذَلَ	1	مَخْذُولٌ	Predicate
442	خَرَّبَ	1	مُخَرَّبٌ	Predicate
443	خَرَطَ	1	مَخْرُوطٌ	Predicate
444	خَرَقَ	1	مَخْرُوقٌ	Predicate
445	خَزَنَ	1	مَخْزُونٌ	Predicate
446	خَصَّ	1	مَخْصُوصٌ	Predicate
447	خَصَرَ	1	مَخْصُورٌ	Predicate
448	خَصَّصَ	1	مُخَصَّصٌ	Predicate
449	خَضَّبَ	1	مُخَضَّبٌ	Predicate
450	خَضْرَمَ	1	مُخَضْرَمٌ	Predicate
